filename,T,H,muX,muC,epsilon_X,epsilon_C,sigma_X,sigma_C,dx,vacuum,initial_guess
0108,200,20,-500,-750,1000,1000,1.0,1.0,0.02,10,0.01
0109,200,25,-2250,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0110,200,25,-2250,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0111,200,25,-2250,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0112,200,25,-2250,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0113,200,25,-2250,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0114,200,25,-2250,-750,1000,1000,1.0,1.0,0.02,10,0.01
0115,200,25,-1900,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0116,200,25,-1900,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0117,200,25,-1900,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0118,200,25,-1900,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0119,200,25,-1900,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0120,200,25,-1900,-750,1000,1000,1.0,1.0,0.02,10,0.01
0121,200,25,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0122,200,25,-1550,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0123,200,25,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0124,200,25,-1550,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0125,200,25,-1550,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0126,200,25,-1550,-750,1000,1000,1.0,1.0,0.02,10,0.01
0127,200,25,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0128,200,25,-1200,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0129,200,25,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0130,200,25,-1200,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0131,200,25,-1200,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0132,200,25,-1200,-750,1000,1000,1.0,1.0,0.02,10,0.01
0133,200,25,-850,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0134,200,25,-850,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0135,200,25,-850,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0136,200,25,-850,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0137,200,25,-850,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0138,200,25,-850,-750,1000,1000,1.0,1.0,0.02,10,0.01
0139,200,25,-500,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0140,200,25,-500,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0141,200,25,-500,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0142,200,25,-500,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0143,200,25,-500,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0144,200,25,-500,-750,1000,1000,1.0,1.0,0.02,10,0.01
0145,200,30,-2250,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0146,200,30,-2250,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0147,200,30,-2250,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0148,200,30,-2250,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0149,200,30,-2250,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0150,200,30,-2250,-750,1000,1000,1.0,1.0,0.02,10,0.01
0151,200,30,-1900,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0152,200,30,-1900,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0153,200,30,-1900,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0154,200,30,-1900,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0155,200,30,-1900,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0156,200,30,-1900,-750,1000,1000,1.0,1.0,0.02,10,0.01
0157,200,30,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0158,200,30,-1550,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0159,200,30,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0160,200,30,-1550,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0161,200,30,-1550,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0162,200,30,-1550,-750,1000,1000,1.0,1.0,0.02,10,0.01
0163,200,30,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0164,200,30,-1200,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0165,200,30,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0166,200,30,-1200,-1450,1000,1000,1.0,1.0,0.02,10,0.01
